divisions,rebalancePeriod,safe_buy,safe_sell,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2023,ret2024,ret1yr,avg,min,mdd2023,mdd2024,mdd1yr,sl2023,sl2024,sl1yr
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.08,30,-24.34,-0.04,15.44,-2.98,-24.34,61.19,58.46,52.43,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.08,45,-24.34,1.61,15.44,-2.43,-24.34,61.19,58.31,52.43,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.08,60,-24.34,1.61,15.44,-2.43,-24.34,61.19,58.31,52.43,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.08,90,-24.34,1.61,15.44,-2.43,-24.34,61.19,58.31,52.43,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.08,120,-24.34,1.61,15.44,-2.43,-24.34,61.19,58.31,52.43,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.1,30,-23.27,0.59,13.69,-3.00,-23.27,60.98,58.53,58.11,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.1,45,-23.27,2.46,13.69,-2.37,-23.27,60.98,58.51,58.11,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.1,60,-23.27,2.46,13.69,-2.37,-23.27,60.98,58.51,58.11,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.1,90,-23.27,2.46,13.69,-2.37,-23.27,60.98,58.51,58.11,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.1,120,-23.27,2.46,13.69,-2.37,-23.27,60.98,58.51,58.11,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.15,30,-25.37,-0.25,13.08,-4.18,-25.37,61.67,58.26,58.22,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.15,45,-25.37,1.45,13.08,-3.61,-25.37,61.67,58.36,58.22,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.15,60,-25.37,1.45,13.08,-3.61,-25.37,61.67,58.36,58.22,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.15,90,-25.37,1.45,13.08,-3.61,-25.37,61.67,58.36,58.22,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.15,120,-25.37,1.45,13.08,-3.61,-25.37,61.67,58.36,58.22,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.2,30,-27.26,-2.63,5.97,-7.97,-27.26,64.58,58.42,63.00,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.2,45,-27.26,-0.95,5.97,-7.41,-27.26,64.58,58.53,63.00,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.2,60,-27.26,-0.95,5.97,-7.41,-27.26,64.58,58.53,63.00,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.2,90,-27.26,-0.95,5.97,-7.41,-27.26,64.58,58.53,63.00,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.2,120,-27.26,-0.95,5.97,-7.41,-27.26,64.58,58.53,63.00,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.25,30,-27.26,-2.63,7.99,-7.30,-27.26,64.58,58.42,63.04,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.25,45,-27.26,-0.95,7.99,-6.74,-27.26,64.58,58.53,63.04,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.25,60,-27.26,-0.95,7.99,-6.74,-27.26,64.58,58.53,63.04,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.25,90,-27.26,-0.95,7.99,-6.74,-27.26,64.58,58.53,63.04,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.25,120,-27.26,-0.95,7.99,-6.74,-27.26,64.58,58.53,63.04,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.3,30,-27.26,-2.63,4.03,-8.62,-27.26,64.58,58.42,58.44,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.3,45,-27.26,-0.95,4.03,-8.06,-27.26,64.58,58.53,58.44,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.3,60,-27.26,-0.95,4.03,-8.06,-27.26,64.58,58.53,58.44,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.3,90,-27.26,-0.95,4.03,-8.06,-27.26,64.58,58.53,58.44,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.01,0.3,120,-27.26,-0.95,4.03,-8.06,-27.26,64.58,58.53,58.44,11,7,7
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.08,30,-25.46,-0.21,13.69,-3.99,-25.46,61.72,58.25,53.97,11,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.08,45,-25.46,1.47,13.69,-3.43,-25.46,61.72,58.35,53.97,11,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.08,60,-25.46,1.47,13.69,-3.43,-25.46,61.72,58.35,53.97,11,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.08,90,-25.46,1.47,13.69,-3.43,-25.46,61.72,58.35,53.97,11,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.08,120,-25.46,1.47,13.69,-3.43,-25.46,61.72,58.35,53.97,11,7,5
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,30,-24.70,0.44,11.40,-4.29,-24.70,61.40,58.58,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,45,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,60,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,90,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
5,5,-0.02,0.008,-0.03,0.04,-0.02,0.1,120,-24.70,2.32,11.40,-3.66,-24.70,61.40,58.43,58.34,11,7,6
