divisions,rebalancePeriod,safe_buy,safe_sell,safe_hold,aggr_buy,aggr_sell,bull_buy,bull_sell,bull_hold,ret2011,ret2012,ret2018,ret2022,ret2024,avg,min,mdd2011,mdd2012,mdd2018,mdd2022,mdd2024,sl2011,sl2012,sl2018,sl2022,sl2024
5,5,-0.02,0.008,20,-0.03,0.05,-0.01,0.08,45,-42.26,-33.18,-27.92,-49.61,-6.52,-31.90,-49.61,69.53,67.08,67.35,72.71,58.47,18,22,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.01,0.1,45,-42.26,-35.17,-27.92,-49.61,-6.11,-32.21,-49.61,69.53,68.06,67.35,72.71,58.36,18,23,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.01,0.12,45,-42.26,-35.17,-27.92,-49.61,-5.71,-32.14,-49.61,69.53,68.06,67.35,72.71,58.37,18,23,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.01,0.15,45,-42.26,-35.17,-27.92,-49.61,-5.20,-32.03,-49.61,69.53,68.06,67.35,72.71,58.53,18,23,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.02,0.08,45,-42.26,-16.46,-27.92,-49.61,-6.61,-28.57,-49.61,69.53,57.50,67.35,72.71,58.53,18,18,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.02,0.1,45,-42.26,-19.36,-27.92,-49.61,-6.27,-29.08,-49.61,69.53,58.97,67.35,72.71,58.39,18,19,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.02,0.12,45,-42.26,-19.36,-27.92,-49.61,-5.87,-29.01,-49.61,69.53,58.97,67.35,72.71,58.42,18,19,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.02,0.15,45,-42.26,-19.36,-27.92,-49.61,-5.35,-28.90,-49.61,69.53,58.97,67.35,72.71,58.59,18,19,20,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.03,0.08,45,-42.26,-16.46,-22.58,-49.61,-6.61,-27.50,-49.61,69.53,57.50,66.60,72.71,58.53,18,18,19,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.03,0.1,45,-42.26,-19.36,-22.58,-49.61,-6.27,-28.02,-49.61,69.53,58.97,66.60,72.71,58.39,18,19,19,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.03,0.12,45,-42.26,-19.36,-22.58,-49.61,-5.87,-27.94,-49.61,69.53,58.97,66.60,72.71,58.42,18,19,19,20,9
5,5,-0.02,0.008,20,-0.03,0.05,-0.03,0.15,45,-42.26,-19.36,-22.58,-49.61,-5.35,-27.83,-49.61,69.53,58.97,66.60,72.71,58.59,18,19,19,20,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.01,0.08,45,-41.46,-32.00,-27.42,-50.43,-5.18,-31.30,-50.43,69.10,67.01,67.13,73.06,58.47,18,22,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.01,0.1,45,-41.46,-34.02,-27.42,-50.43,-4.81,-31.63,-50.43,69.10,67.99,67.13,73.06,58.34,18,23,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.01,0.12,45,-41.46,-34.02,-27.42,-50.43,-4.46,-31.56,-50.43,69.10,67.99,67.13,73.06,58.37,18,23,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.01,0.15,45,-41.46,-34.02,-27.42,-50.43,-3.92,-31.45,-50.43,69.10,67.99,67.13,73.06,58.45,18,23,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.02,0.08,45,-41.46,-14.99,-27.42,-50.43,-5.34,-27.93,-50.43,69.10,56.83,67.13,73.06,58.48,18,18,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.02,0.1,45,-41.46,-17.94,-27.42,-50.43,-4.91,-28.43,-50.43,69.10,58.33,67.13,73.06,58.39,18,19,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.02,0.12,45,-41.46,-17.94,-27.42,-50.43,-4.63,-28.37,-50.43,69.10,58.33,67.13,73.06,58.42,18,19,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.02,0.15,45,-41.46,-17.94,-27.42,-50.43,-4.06,-28.26,-50.43,69.10,58.33,67.13,73.06,58.47,18,19,21,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.03,0.08,45,-41.46,-14.99,-22.05,-50.43,-5.34,-26.85,-50.43,69.10,56.83,66.37,73.06,58.48,18,18,20,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.03,0.1,45,-41.46,-17.94,-22.05,-50.43,-4.91,-27.36,-50.43,69.10,58.33,66.37,73.06,58.39,18,19,20,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.03,0.12,45,-41.46,-17.94,-22.05,-50.43,-4.63,-27.30,-50.43,69.10,58.33,66.37,73.06,58.42,18,19,20,21,9
5,5,-0.02,0.008,20,-0.03,0.06,-0.03,0.15,45,-41.46,-17.94,-22.05,-50.43,-4.06,-27.19,-50.43,69.10,58.33,66.37,73.06,58.47,18,19,20,21,9
5,5,-0.02,0.008,20,-0.03,0.08,-0.01,0.08,45,-40.67,-31.11,-27.36,-56.89,-6.76,-32.56,-56.89,68.69,66.87,67.12,76.22,58.77,18,24,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.01,0.1,45,-40.67,-33.17,-27.36,-56.89,-6.34,-32.89,-56.89,68.69,67.86,67.12,76.22,58.66,18,25,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.01,0.12,45,-40.67,-33.17,-27.36,-56.89,-6.02,-32.82,-56.89,68.69,67.86,67.12,76.22,58.68,18,25,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.01,0.15,45,-40.67,-33.17,-27.36,-56.89,-5.46,-32.71,-56.89,68.69,67.86,67.12,76.22,58.83,18,25,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.02,0.08,45,-40.67,-13.85,-27.36,-56.89,-6.89,-29.13,-56.89,68.69,56.37,67.12,76.22,58.82,18,20,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.02,0.1,45,-40.67,-16.85,-27.36,-56.89,-6.49,-29.65,-56.89,68.69,57.88,67.12,76.22,58.85,18,21,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.02,0.12,45,-40.67,-16.85,-27.36,-56.89,-6.14,-29.58,-56.89,68.69,57.88,67.12,76.22,58.73,18,21,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.02,0.15,45,-40.67,-16.85,-27.36,-56.89,-5.61,-29.47,-56.89,68.69,57.88,67.12,76.22,58.88,18,21,22,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.03,0.08,45,-40.67,-13.85,-21.95,-56.89,-6.89,-28.05,-56.89,68.69,56.37,66.34,76.22,58.82,18,20,21,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.03,0.1,45,-40.67,-16.85,-21.95,-56.89,-6.49,-28.57,-56.89,68.69,57.88,66.34,76.22,58.85,18,21,21,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.03,0.12,45,-40.67,-16.85,-21.95,-56.89,-6.14,-28.50,-56.89,68.69,57.88,66.34,76.22,58.73,18,21,21,22,10
5,5,-0.02,0.008,20,-0.03,0.08,-0.03,0.15,45,-40.67,-16.85,-21.95,-56.89,-5.61,-28.39,-56.89,68.69,57.88,66.34,76.22,58.88,18,21,21,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.01,0.08,45,-39.64,-31.09,-27.07,-56.77,-4.93,-31.90,-56.77,68.14,66.16,66.98,75.09,58.77,19,25,22,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.01,0.1,45,-39.64,-33.15,-27.07,-56.77,-4.58,-32.24,-56.77,68.14,67.17,66.98,75.09,58.66,19,26,22,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.01,0.12,45,-39.64,-33.15,-27.07,-56.77,-4.19,-32.17,-56.77,68.14,67.17,66.98,75.09,58.68,19,26,22,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.01,0.15,45,-39.64,-33.15,-27.07,-56.77,-3.65,-32.06,-56.77,68.14,67.17,66.98,75.09,58.83,19,26,22,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.02,0.08,45,-39.64,-13.83,-27.07,-56.77,-5.08,-28.48,-56.77,68.14,55.51,66.98,75.09,58.82,19,21,22,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.02,0.1,45,-39.64,-16.82,-27.07,-56.77,-4.73,-29.01,-56.77,68.14,56.99,66.98,75.09,58.85,19,22,22,22,10
5,5,-0.02,0.008,20,-0.03,0.1,-0.02,0.12,45,-39.64,-16.82,-27.07,-56.77,-4.34,-28.93,-56.77,68.14,56.99,66.98,75.09,58.73,19,22,22,22,10
